epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8231.35,0.87308,0.67655,1.17638,0.90736,0.87859,0.92757,0.66222,1.02318,0.63428,1.28747,0.0066175,0.0066175,0.0066175
43,8428.54,0.86738,0.65924,1.16902,0.90392,0.87297,0.92206,0.65646,1.016,0.63861,1.27331,0.006535,0.006535,0.006535
44,8620.52,0.86294,0.65407,1.1687,0.92277,0.86802,0.92862,0.66478,1.01846,0.61976,1.27609,0.0064525,0.0064525,0.0064525
45,8813.45,0.85119,0.64045,1.16432,0.91405,0.86413,0.92307,0.66657,0.99398,0.62408,1.25508,0.00637,0.00637,0.00637
46,9008.55,0.8482,0.63695,1.16048,0.90484,0.88106,0.92732,0.66821,0.99834,0.61741,1.26097,0.0062875,0.0062875,0.0062875
47,9208.08,0.8458,0.63147,1.15321,0.92363,0.86904,0.92389,0.66951,1.00142,0.62606,1.26082,0.006205,0.006205,0.006205
48,9403.67,0.83519,0.62743,1.14553,0.91326,0.86776,0.92296,0.66803,0.99028,0.61582,1.25588,0.0061225,0.0061225,0.0061225
49,9596.43,0.83061,0.6185,1.14564,0.90901,0.87958,0.92805,0.67431,0.98513,0.60381,1.25465,0.00604,0.00604,0.00604
50,9787.37,0.82367,0.61674,1.14571,0.92386,0.87228,0.93519,0.6784,0.98071,0.60146,1.25466,0.0059575,0.0059575,0.0059575
51,9983.7,0.81619,0.61873,1.13831,0.91626,0.88558,0.93148,0.68196,0.97556,0.59482,1.25034,0.005875,0.005875,0.005875
52,10178.6,0.82111,0.60041,1.14012,0.90551,0.89428,0.93103,0.68213,0.97785,0.60045,1.25147,0.0057925,0.0057925,0.0057925
53,10373.9,0.8134,0.59713,1.13727,0.92583,0.8839,0.93699,0.68563,0.98136,0.60353,1.26142,0.00571,0.00571,0.00571
54,10566.1,0.80492,0.58509,1.13059,0.90609,0.89936,0.93403,0.68462,0.97094,0.59992,1.25157,0.0056275,0.0056275,0.0056275
55,10760.4,0.79752,0.58263,1.12821,0.90008,0.90403,0.93413,0.68432,0.96713,0.59117,1.25123,0.005545,0.005545,0.005545
56,10955.6,0.78585,0.57445,1.11869,0.91619,0.88631,0.93457,0.68122,0.96501,0.58297,1.25524,0.0054625,0.0054625,0.0054625
57,11151.9,0.78621,0.57643,1.118,0.92778,0.88613,0.9345,0.68548,0.96066,0.57934,1.2511,0.00538,0.00538,0.00538
58,11344.6,0.77952,0.56711,1.11693,0.91204,0.89221,0.93747,0.69013,0.95854,0.57148,1.24795,0.0052975,0.0052975,0.0052975
59,11538,0.78512,0.57154,1.12224,0.93291,0.88311,0.93824,0.68951,0.96175,0.5682,1.25135,0.005215,0.005215,0.005215
60,11733.6,0.76963,0.56113,1.11094,0.93285,0.89093,0.94025,0.68901,0.95994,0.56838,1.2531,0.0051325,0.0051325,0.0051325
61,11933.4,0.76403,0.5493,1.10548,0.93451,0.88779,0.93869,0.68852,0.95838,0.56665,1.2489,0.00505,0.00505,0.00505
62,12128.4,0.7587,0.54979,1.10295,0.93242,0.88672,0.93855,0.68743,0.95863,0.56606,1.24812,0.0049675,0.0049675,0.0049675
63,12319.7,0.76362,0.54485,1.11145,0.93642,0.89615,0.93941,0.6878,0.95547,0.56357,1.24585,0.004885,0.004885,0.004885
64,12511.8,0.75027,0.53906,1.09943,0.91946,0.90679,0.94079,0.68756,0.95062,0.55821,1.2418,0.0048025,0.0048025,0.0048025
65,12709.6,0.74703,0.53662,1.09658,0.91368,0.91154,0.94198,0.68857,0.94529,0.55396,1.23661,0.00472,0.00472,0.00472
66,12908.3,0.74817,0.53569,1.09409,0.93717,0.88795,0.94413,0.69306,0.94542,0.55753,1.23307,0.0046375,0.0046375,0.0046375
67,13103.5,0.7347,0.52571,1.08981,0.93829,0.89406,0.9443,0.69681,0.9459,0.55527,1.23192,0.004555,0.004555,0.004555
68,13296.8,0.72758,0.52355,1.08536,0.93938,0.89273,0.9437,0.69471,0.94511,0.55532,1.23418,0.0044725,0.0044725,0.0044725
69,13489.2,0.72157,0.5184,1.08431,0.93223,0.898,0.94466,0.69628,0.94651,0.55669,1.23583,0.00439,0.00439,0.00439
70,13686.2,0.71255,0.51058,1.076,0.9242,0.89773,0.94501,0.6955,0.94582,0.55276,1.23957,0.0043075,0.0043075,0.0043075
71,13881.8,0.71578,0.50887,1.07833,0.91532,0.90204,0.94222,0.69675,0.94509,0.55286,1.24195,0.004225,0.004225,0.004225
72,14074.1,0.70917,0.49888,1.07446,0.94232,0.88757,0.94619,0.69827,0.94669,0.54743,1.24636,0.0041425,0.0041425,0.0041425
73,14266.7,0.71164,0.50696,1.07697,0.93972,0.88994,0.94593,0.69845,0.94709,0.54643,1.24977,0.00406,0.00406,0.00406
74,14463.1,0.70012,0.49248,1.07032,0.93732,0.88895,0.94264,0.69941,0.94571,0.54549,1.24828,0.0039775,0.0039775,0.0039775
75,14661.8,0.69794,0.50333,1.07041,0.9356,0.89093,0.94383,0.70095,0.9458,0.54318,1.24758,0.003895,0.003895,0.003895
76,14854.6,0.69126,0.4901,1.06426,0.91433,0.91554,0.94468,0.70223,0.94346,0.53924,1.24651,0.0038125,0.0038125,0.0038125
77,15047.3,0.68686,0.483,1.06139,0.91437,0.9172,0.94395,0.70076,0.9422,0.54142,1.24651,0.00373,0.00373,0.00373
78,15238.8,0.68607,0.48091,1.06788,0.91246,0.9207,0.94379,0.70103,0.9398,0.54282,1.24591,0.0036475,0.0036475,0.0036475
79,15437.8,0.67658,0.47909,1.05551,0.91437,0.91999,0.94339,0.70011,0.93873,0.54159,1.24634,0.003565,0.003565,0.003565
80,15634.2,0.67496,0.47493,1.05765,0.92152,0.91673,0.94279,0.69948,0.93834,0.54183,1.24774,0.0034825,0.0034825,0.0034825
81,15827.6,0.67218,0.47738,1.0557,0.92397,0.91477,0.94242,0.70022,0.93967,0.54353,1.25024,0.0034,0.0034,0.0034
82,16020.5,0.6642,0.46509,1.05021,0.91948,0.9132,0.94059,0.70016,0.94034,0.54074,1.25058,0.0033175,0.0033175,0.0033175
83,16212.9,0.65807,0.46238,1.04935,0.91867,0.91173,0.94102,0.7016,0.94041,0.54182,1.25149,0.003235,0.003235,0.003235
84,16409.1,0.65275,0.45372,1.04633,0.92081,0.91206,0.94044,0.702,0.94041,0.54057,1.25203,0.0031525,0.0031525,0.0031525
